mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres
40417,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season,https://www.youtube-nocookie.com/embed/yBBePKQTWFE?enablejsapi=1&wmode=opaque&autoplay=1,Fruits Basket 2nd Season,フルーツバスケット 2nd season,TV,Manga,25.0,Finished Airing,"Apr 7, 2020 to Sep 22, 2020",23 min per ep,PG-13 - Teens 13 or older,8.53,568524,6394,"Drama, Romance, Supernatural"
40748,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,https://www.youtube-nocookie.com/embed/4A_X-Dvl0ws?enablejsapi=1&wmode=opaque&autoplay=1,Jujutsu Kaisen,呪術廻戦,TV,Manga,24.0,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",23 min per ep,R - 17+ (violence & profanity),8.53,2899708,94324,"Action, Award Winning, Supernatural"
61322,https://myanimelist.net/anime/61322/Dr_Stone__Science_Future_Part_2,https://www.youtube-nocookie.com/embed/qbthdPHU8FQ?enablejsapi=1&wmode=opaque&autoplay=1,Dr. Stone: Science Future Part 2,Dr.STONE SCIENCE FUTURE 第2クール,TV,Manga,12.0,Finished Airing,"Jul 10, 2025 to Sep 25, 2025",24 min per ep,PG-13 - Teens 13 or older,8.52,175223,636,"Adventure, Comedy, Sci-Fi"
21329,https://myanimelist.net/anime/21329/Mushishi__Hihamukage,https://www.youtube-nocookie.com/embed/Q9PiKDPIgPg?enablejsapi=1&wmode=opaque&autoplay=1,Mushishi: Hihamukage,蟲師 特別篇「日蝕む翳」,TV Special,Manga,1.0,Finished Airing,"Jan 4, 2014",44 min,PG-13 - Teens 13 or older,8.52,150447,210,"Adventure, Mystery, Slice of Life, Supernatural"
7472,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen,https://www.youtube-nocookie.com/embed/ZHAZCsDXecE?enablejsapi=1&wmode=opaque&autoplay=1,Gintama Movie 1: Shinyaku Benizakura-hen,劇場版 銀魂 新訳紅桜篇,Movie,Manga,1.0,Finished Airing,"Apr 24, 2010",1 hr 35 min,R - 17+ (violence & profanity),8.52,174612,629,"Action, Comedy, Sci-Fi"
12365,https://myanimelist.net/anime/12365/Bakuman_3rd_Season,,Bakuman. 3rd Season,バクマン。,TV,Manga,25.0,Finished Airing,"Oct 6, 2012 to Mar 30, 2013",24 min per ep,PG-13 - Teens 13 or older,8.52,344493,2957,"Comedy, Drama, Romance"
205,https://myanimelist.net/anime/205/Samurai_Champloo,,Samurai Champloo,サムライチャンプルー,TV,Original,26.0,Finished Airing,"May 20, 2004 to Mar 19, 2005",24 min per ep,R - 17+ (violence & profanity),8.52,1323229,40319,"Action, Adventure, Comedy"
60544,https://myanimelist.net/anime/60544/Nezha_Zhi_Mo_Tong_Nao_Hai,https://www.youtube-nocookie.com/embed/cwV_c7iSUbc?enablejsapi=1&wmode=opaque&autoplay=1,Nezha Zhi Mo Tong Nao Hai,哪吒之魔童闹海,Movie,Original,1.0,Finished Airing,"Jan 29, 2025",2 hr 23 min,PG-13 - Teens 13 or older,8.51,7650,49,"Action, Comedy, Drama, Fantasy"
59986,https://myanimelist.net/anime/59986/Grand_Blue_Season_2,https://www.youtube-nocookie.com/embed/rQ119Lo7aF8?enablejsapi=1&wmode=opaque&autoplay=1,Grand Blue Season 2,ぐらんぶる Season 2,TV,Manga,12.0,Finished Airing,"Jul 8, 2025 to Sep 23, 2025",24 min per ep,PG-13 - Teens 13 or older,8.51,166514,1110,Comedy
53273,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3,https://www.youtube-nocookie.com/embed/KZ3RCnoZlLw?enablejsapi=1&wmode=opaque&autoplay=1,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ジョジョの奇妙な冒険 ストーンオーシャン,ONA,Manga,14.0,Finished Airing,"Dec 1, 2022",24 min per ep,R - 17+ (violence & profanity),8.51,272364,3366,"Action, Adventure"
