mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres
52991,https://myanimelist.net/anime/52991/Sousou_no_Frieren,https://www.youtube-nocookie.com/embed/ZEkwCGJ3o7M?enablejsapi=1&wmode=opaque&autoplay=1,Sousou no Frieren,葬送のフリーレン,TV,Manga,28.0,Finished Airing,"Sep 29, 2023 to Mar 22, 2024",24 min per ep,PG-13 - Teens 13 or older,9.29,1248797,78167,"Adventure, Drama, Fantasy"
57555,https://myanimelist.net/anime/57555/Chainsaw_Man_Movie__Reze-hen,https://www.youtube-nocookie.com/embed/pv8A7eubPQQ?enablejsapi=1&wmode=opaque&autoplay=1,Chainsaw Man Movie: Reze-hen,劇場版 チェンソーマン レゼ篇,Movie,Manga,1.0,Finished Airing,"Sep 19, 2025",1 hr 41 min,R - 17+ (violence & profanity),9.21,240147,5717,"Action, Fantasy"
5114,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://www.youtube-nocookie.com/embed/1ac3_YdSSy0?enablejsapi=1&wmode=opaque&autoplay=1,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,Manga,64.0,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",24 min per ep,R - 17+ (violence & profanity),9.1,3591127,237634,"Action, Adventure, Drama, Fantasy"
9253,https://myanimelist.net/anime/9253/Steins_Gate,https://www.youtube-nocookie.com/embed/27OZc-ku6is?enablejsapi=1&wmode=opaque&autoplay=1,Steins;Gate,STEINS;GATE,TV,Visual novel,24.0,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",24 min per ep,PG-13 - Teens 13 or older,9.07,2747288,198811,"Drama, Sci-Fi, Suspense"
38524,https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://www.youtube-nocookie.com/embed/hKHepjfj5Tw?enablejsapi=1&wmode=opaque&autoplay=1,Shingeki no Kyojin Season 3 Part 2,進撃の巨人 Season3 Part.2,TV,Manga,10.0,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",23 min per ep,R - 17+ (violence & profanity),9.05,2510084,62008,"Action, Drama, Suspense"
28977,https://myanimelist.net/anime/28977/Gintama°,,Gintama°,銀魂°,TV,Manga,51.0,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",24 min per ep,PG-13 - Teens 13 or older,9.05,678384,17328,"Action, Comedy, Sci-Fi"
39486,https://myanimelist.net/anime/39486/Gintama__The_Final,https://www.youtube-nocookie.com/embed/Zn1filVUyf8?enablejsapi=1&wmode=opaque&autoplay=1,Gintama: The Final,銀魂 THE FINAL,Movie,Manga,1.0,Finished Airing,"Jan 8, 2021",1 hr 44 min,PG-13 - Teens 13 or older,9.05,176153,4574,"Action, Comedy, Drama, Sci-Fi"
60022,https://myanimelist.net/anime/60022/One_Piece_Fan_Letter,https://www.youtube-nocookie.com/embed/MewJ5bEM-5U?enablejsapi=1&wmode=opaque&autoplay=1,One Piece Fan Letter,ONE PIECE FAN LETTER,TV Special,Light novel,1.0,Finished Airing,"Oct 20, 2024",24 min,PG-13 - Teens 13 or older,9.03,132104,2389,"Action, Adventure, Fantasy"
11061,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://www.youtube-nocookie.com/embed/D9iTQRB4XRk?enablejsapi=1&wmode=opaque&autoplay=1,Hunter x Hunter (2011),HUNTER×HUNTER（ハンター×ハンター）,TV,Manga,148.0,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",23 min per ep,PG-13 - Teens 13 or older,9.03,3095989,224775,"Action, Adventure, Fantasy"
9969,https://myanimelist.net/anime/9969/Gintama,,Gintama',銀魂',TV,Manga,51.0,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",24 min per ep,PG-13 - Teens 13 or older,9.02,600332,8502,"Action, Comedy, Sci-Fi"
15417,https://myanimelist.net/anime/15417/Gintama__Enchousen,,Gintama': Enchousen,銀魂' 延長戦,TV,Manga,13.0,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",24 min per ep,PG-13 - Teens 13 or older,9.02,351200,3141,"Action, Comedy, Sci-Fi"
