mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,year,popularity_score
47917,https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://www.youtube-nocookie.com/embed/1-o7fmQqSNg?enablejsapi=1&wmode=opaque&autoplay=1,Bocchi the Rock!,ぼっち・ざ・ろっく！,TV,4-koma manga,12,Finished Airing,"Oct 9, 2022 to Dec 25, 2022",23 min per ep,PG-13 - Teens 13 or older,8.74,739620,34846,Comedy,2022,646.4278800000001
53447,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X,https://www.youtube-nocookie.com/embed/4-e9BXNbDlc?enablejsapi=1&wmode=opaque&autoplay=1,Tu Bian Yingxiong X,凸变英雄X,ONA,Original,24,Finished Airing,"Apr 6, 2025 to Sep 14, 2025",25 min per ep,PG-13 - Teens 13 or older,8.73,200378,3979,Action,2025,174.92999400000002
52198,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,https://www.youtube-nocookie.com/embed/8Zy8-00-Pls?enablejsapi=1&wmode=opaque&autoplay=1,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,かぐや様は告らせたい -ファーストキッスは終わらない-,Movie,Manga,1,Finished Airing,"Dec 17, 2022",1 hr 36 min,PG-13 - Teens 13 or older,8.73,350411,2250,"Comedy, Drama, Romance",2022,305.90880300000003
50160,https://myanimelist.net/anime/50160/Kingdom_4th_Season,https://www.youtube-nocookie.com/embed/qv8eDYnEIQ4?enablejsapi=1&wmode=opaque&autoplay=1,Kingdom 4th Season,キングダム 第4シリーズ,TV,Manga,26,Finished Airing,"Apr 10, 2022 to Oct 2, 2022",24 min per ep,R - 17+ (violence & profanity),8.73,83573,1152,Action,2022,72.95922900000001
55690,https://myanimelist.net/anime/55690/Boku_no_Kokoro_no_Yabai_Yatsu_2nd_Season,https://www.youtube-nocookie.com/embed/DAbLNzr4cC8?enablejsapi=1&wmode=opaque&autoplay=1,Boku no Kokoro no Yabai Yatsu 2nd Season,僕の心のヤバイやつ 第2期,TV,Manga,13,Finished Airing,"Jan 7, 2024 to Mar 31, 2024",23 min per ep,PG-13 - Teens 13 or older,8.72,285020,5899,"Comedy, Romance",2024,248.53744
53223,https://myanimelist.net/anime/53223/Kingdom_5th_Season,https://www.youtube-nocookie.com/embed/jYztdVfUZX8?enablejsapi=1&wmode=opaque&autoplay=1,Kingdom 5th Season,キングダム 第5シリーズ,TV,Manga,13,Finished Airing,"Jan 14, 2024 to Mar 31, 2024",24 min per ep,R - 17+ (violence & profanity),8.72,55487,588,Action,2024,48.38466400000001
39894,https://myanimelist.net/anime/39894/Hibike_Euphonium_3,https://www.youtube-nocookie.com/embed/m6HBe_ewMbc?enablejsapi=1&wmode=opaque&autoplay=1,Hibike! Euphonium 3,響け！ユーフォニアム3,TV,Novel,13,Finished Airing,"Apr 7, 2024 to Jun 30, 2024",24 min per ep,PG-13 - Teens 13 or older,8.72,92077,1900,Drama,2024,80.29114400000002
24701,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season,https://www.youtube-nocookie.com/embed/zuX3P6ynAgc?enablejsapi=1&wmode=opaque&autoplay=1,Mushishi Zoku Shou 2nd Season,蟲師 続章,TV,Manga,10,Finished Airing,"Oct 19, 2014 to Dec 21, 2014",23 min per ep,PG-13 - Teens 13 or older,8.72,287367,1571,"Adventure, Mystery, Slice of Life, Supernatural",2014,250.584024
44074,https://myanimelist.net/anime/44074/Shiguang_Dailiren,https://www.youtube-nocookie.com/embed/EANXr1vDjN8?enablejsapi=1&wmode=opaque&autoplay=1,Shiguang Dailiren,時光代理人,ONA,Original,11,Finished Airing,"Apr 30, 2021 to Jul 9, 2021",23 min per ep,PG-13 - Teens 13 or older,8.72,457599,14301,"Drama, Mystery, Suspense",2021,399.02632800000003
48569,https://myanimelist.net/anime/48569/86_Part_2,https://www.youtube-nocookie.com/embed/Oo8ICn48l6E?enablejsapi=1&wmode=opaque&autoplay=1,86 Part 2,86―エイティシックス―,TV,Light novel,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",23 min per ep,R - 17+ (violence & profanity),8.72,608576,17764,"Drama, Sci-Fi",2021,530.678272
