mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
31988,https://myanimelist.net/anime/31988/Hibike_Euphonium_2,https://www.youtube-nocookie.com/embed/d2Di5swwzxg?enablejsapi=1&wmode=opaque&autoplay=1,Hibike! Euphonium 2,響け！ユーフォニアム2,TV,Novel,13.0,Finished Airing,"Oct 6, 2016 to Dec 29, 2016",23 min per ep,PG-13 - Teens 13 or older,8.34,251948,3804,Drama,
41457,https://myanimelist.net/anime/41457/86,https://www.youtube-nocookie.com/embed/WVegRUOgkPM?enablejsapi=1&wmode=opaque&autoplay=1,86,86―エイティシックス―,TV,Light novel,11.0,Finished Airing,"Apr 11, 2021 to Jun 20, 2021",23 min per ep,R - 17+ (violence & profanity),8.34,923289,25448,"Drama, Sci-Fi",
46654,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2,https://www.youtube-nocookie.com/embed/Au9jYd7qOH0?enablejsapi=1&wmode=opaque&autoplay=1,IDOLiSH7 Third Beat! Part 2,アイドリッシュセブン,TV,Game,17.0,Finished Airing,"Oct 2, 2022 to Feb 26, 2023",24 min per ep,PG-13 - Teens 13 or older,8.34,17490,276,Drama,
49458,https://myanimelist.net/anime/49458/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3,https://www.youtube-nocookie.com/embed/Meo3mO98huE?enablejsapi=1&wmode=opaque&autoplay=1,Kono Subarashii Sekai ni Shukufuku wo! 3,この素晴らしい世界に祝福を！3,TV,Light novel,11.0,Finished Airing,"Apr 10, 2024 to Jun 19, 2024",23 min per ep,PG-13 - Teens 13 or older,8.34,519009,5500,"Adventure, Comedy, Fantasy",
777,https://myanimelist.net/anime/777/Hellsing_Ultimate,https://www.youtube-nocookie.com/embed/58zw4Q0ZRAM?enablejsapi=1&wmode=opaque&autoplay=1,Hellsing Ultimate,HELLSING OVA,OVA,Manga,10.0,Finished Airing,"Feb 10, 2006 to Dec 26, 2012",49 min per ep,R - 17+ (violence & profanity),8.34,996815,23196,"Action, Horror, Supernatural",
39535,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu,https://www.youtube-nocookie.com/embed/Qx01pn9l-6g?enablejsapi=1&wmode=opaque&autoplay=1,Mushoku Tensei: Isekai Ittara Honki Dasu,無職転生 ～異世界行ったら本気だす～,TV,Light novel,11.0,Finished Airing,"Jan 11, 2021 to Mar 22, 2021",23 min per ep,R - 17+ (violence & profanity),8.34,1513480,38286,"Adventure, Drama, Fantasy, Ecchi",
39587,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,https://www.youtube-nocookie.com/embed/41Gj4Dri8wo?enablejsapi=1&wmode=opaque&autoplay=1,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Re：ゼロから始める異世界生活,TV,Light novel,13.0,Finished Airing,"Jul 8, 2020 to Sep 30, 2020",26 min per ep,R - 17+ (violence & profanity),8.33,1237935,12319,"Drama, Fantasy, Suspense",
13601,https://myanimelist.net/anime/13601/Psycho-Pass,https://www.youtube-nocookie.com/embed/DgDBzAHg4wU?enablejsapi=1&wmode=opaque&autoplay=1,Psycho-Pass,サイコパス,TV,Original,22.0,Finished Airing,"Oct 12, 2012 to Mar 22, 2013",23 min per ep,R - 17+ (violence & profanity),8.33,1722040,39976,"Action, Mystery, Sci-Fi, Suspense",
50407,https://myanimelist.net/anime/50407/Wu_Shan_Wu_Xing__Xichuan_Huan_Zi_Lin,https://www.youtube-nocookie.com/embed/BsTEjWAn330?enablejsapi=1&wmode=opaque&autoplay=1,Wu Shan Wu Xing: Xichuan Huan Zi Lin,雾山五行·犀川幻紫林,ONA,Original,4.0,Finished Airing,"Jul 26, 2023 to Aug 16, 2023",38 min per ep,R - 17+ (violence & profanity),8.33,18228,129,"Action, Fantasy, Supernatural",
10030,https://myanimelist.net/anime/10030/Bakuman_2nd_Season,,Bakuman. 2nd Season,バクマン。2ndシーズン,TV,Manga,25.0,Finished Airing,"Oct 1, 2011 to Mar 24, 2012",24 min per ep,PG-13 - Teens 13 or older,8.33,368278,1381,"Comedy, Drama, Romance",
20651,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni,,Natsume Yuujinchou: Itsuka Yuki no Hi ni,夏目友人帳 新作OVA いつかゆきのひに,OVA,Manga,1.0,Finished Airing,"Feb 5, 2014",22 min,PG-13 - Teens 13 or older,8.33,85930,116,"Slice of Life, Supernatural",05.02.2014
55357,https://myanimelist.net/anime/55357/Bocchi_the_Rock_Movie,https://www.youtube-nocookie.com/embed/duo1scb3dL0?enablejsapi=1&wmode=opaque&autoplay=1,Bocchi the Rock! Movie,ぼっち・ざ・ろっく！劇場総集編,Movie,4-koma manga,2.0,Finished Airing,"Jun 7, 2024 to Aug 9, 2024",1 hr 22 min per ep,PG-13 - Teens 13 or older,8.32,68355,442,Comedy,
