mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,genres,start_date
3602,https://myanimelist.net/anime/3602/Ginga_Tetsudou_999__Eternal_Fantasy,https://www.youtube-nocookie.com/embed/RkVFeDscSME?enablejsapi=1&wmode=opaque&autoplay=1,Ginga Tetsudou 999: Eternal Fantasy,銀河鉄道９９９ エターナルファンタジー,Movie,Manga,1,Finished Airing,"Mar 7, 1998",54 min,PG-13 - Teens 13 or older,6.54,5667,5,"Action, Drama, Sci-Fi",07.03.1998
3603,https://myanimelist.net/anime/3603/JoJo_no_Kimyou_na_Bouken__Phantom_Blood,,JoJo no Kimyou na Bouken: Phantom Blood,ジョジョの奇妙な冒険 ファントム ブラッド,Movie,Manga,1,Finished Airing,"Feb 17, 2007",1 hr 30 min,R - 17+ (violence & profanity),7.74,73489,627,"Action, Adventure, Horror",17.02.2007
3646,https://myanimelist.net/anime/3646/Glass_no_Usagi,https://www.youtube-nocookie.com/embed/lCO-PJXDz8c?enablejsapi=1&wmode=opaque&autoplay=1,Glass no Usagi,ガラスのうさぎ,Movie,Book,1,Finished Airing,"Sep 9, 2005",1 hr 24 min,PG - Children,6.59,2753,0,,09.09.2005
3659,https://myanimelist.net/anime/3659/Majime_ni_Fumajime_Kaiketsu_Zorori__Nazo_no_Otakara_Daisakusen,,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,まじめにふまじめ かいけつゾロリ なぞのお宝大さくせん,Movie,Unknown,1,Finished Airing,"Mar 11, 2006",53 min,G - All Ages,6.42,857,2,"Adventure, Comedy",11.03.2006
3669,https://myanimelist.net/anime/3669/Duel_Masters_Movie_1__Yami_no_Shiro_no_Maryuuou,,Duel Masters Movie 1: Yami no Shiro no Maryuuou,劇場版デュエル・マスターズ 闇の城の魔龍凰[カース・オブ・ザ・デスフェニックス],Movie,Original,1,Finished Airing,"Mar 12, 2005",45 min,PG - Children,5.86,1607,1,"Adventure, Fantasy",12.03.2005
3720,https://myanimelist.net/anime/3720/Jack_to_Mame_no_Ki,,Jack to Mame no Ki,ジャックと豆の木,Movie,Book,1,Finished Airing,"Jul 20, 1974",1 hr 37 min,G - All Ages,6.32,2172,13,Fantasy,20.07.1974
3727,https://myanimelist.net/anime/3727/Doraemon_Movie_01__Nobita_no_Kyouryuu,,Doraemon Movie 01: Nobita no Kyouryuu,映画 ドラえもん のび太の恐竜,Movie,Manga,1,Finished Airing,"Mar 15, 1980",1 hr 32 min,PG - Children,7.19,10848,5,"Adventure, Comedy",15.03.1980
3743,https://myanimelist.net/anime/3743/Murder,,Murder,殺人,Movie,Original,1,Finished Airing,1964,9 min,PG-13 - Teens 13 or older,5.14,2518,2,"Award Winning, Mystery",
3744,https://myanimelist.net/anime/3744/Crayon_Shin-chan_Movie_10__Arashi_wo_Yobu_Appare_Sengoku_Daikassen,https://www.youtube-nocookie.com/embed/rUFrEYh17A8?enablejsapi=1&wmode=opaque&autoplay=1,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,クレヨンしんちゃん 嵐を呼ぶ アッパレ! 戦国大合戦,Movie,Manga,1,Finished Airing,"Apr 20, 2002",1 hr 35 min,G - All Ages,7.52,6715,15,"Award Winning, Drama, Romance",20.04.2002
3745,https://myanimelist.net/anime/3745/Crayon_Shin-chan_Movie_02__Buriburi_Oukoku_no_Hihou,https://www.youtube-nocookie.com/embed/zzzA1bo48wU?enablejsapi=1&wmode=opaque&autoplay=1,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,クレヨンしんちゃん ブリブリ王国の秘宝,Movie,Manga,1,Finished Airing,"Apr 23, 1994",1 hr 33 min,G - All Ages,7.14,10802,10,"Action, Adventure, Comedy",23.04.1994
3751,https://myanimelist.net/anime/3751/Sekai_Meisaku_Douwa__Mori_wa_Ikiteiru,,Sekai Meisaku Douwa: Mori wa Ikiteiru,森は生きている,Movie,Book,1,Finished Airing,"Mar 15, 1980",1 hr 5 min,PG - Children,6.72,2692,5,Fantasy,15.03.1980
3752,https://myanimelist.net/anime/3752/Nagagutsu_wo_Haita_Neko__80-nichikan_Sekai_Isshuu,,Nagagutsu wo Haita Neko: 80-nichikan Sekai Isshuu,長靴をはいた猫 80日間世界一周,Movie,Other,1,Finished Airing,"Mar 20, 1976",1 hr 8 min,PG - Children,6.77,2609,5,Adventure,20.03.1976
3755,https://myanimelist.net/anime/3755/Sekai_Meisaku_Douwa__Oyayubi_Hime,,Sekai Meisaku Douwa: Oyayubi Hime,世界名作童話 おやゆび姫,Movie,Book,1,Finished Airing,"Mar 18, 1978",1 hr 4 min,PG - Children,5.95,1485,1,Fantasy,18.03.1978
3757,https://myanimelist.net/anime/3757/Sekai_Meisaku_Douwa__Aladdin_to_Mahou_no_Lamp,,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,アラジンと魔法のランプ,Movie,Unknown,1,Finished Airing,"Mar 13, 1982",1 hr 5 min,G - All Ages,6.17,2200,3,"Adventure, Fantasy",13.03.1982
3758,https://myanimelist.net/anime/3758/Panda_no_Daibouken,,Panda no Daibouken,パンダの大冒険,Movie,Original,1,Finished Airing,"Mar 17, 1973",53 min,PG - Children,5.95,1014,0,Adventure,17.03.1973
3760,https://myanimelist.net/anime/3760/Grimm_Douwa__Kin_no_Tori,,Grimm Douwa: Kin no Tori,グリム童話 金の鳥,Movie,Other,1,Finished Airing,"Mar 14, 1987",52 min,G - All Ages,6.71,2824,7,"Adventure, Fantasy",14.03.1987
3763,https://myanimelist.net/anime/3763/Chouon_Senshi_Borgman__Lovers_Rain,,Chouon Senshi Borgman: Lovers Rain,超音戦士ボーグマン LOVERS RAIN,Movie,Other,1,Finished Airing,"Dec 1, 1990",33 min,PG-13 - Teens 13 or older,5.69,1792,0,"Action, Sci-Fi",01.12.1990
3782,https://myanimelist.net/anime/3782/Kara_no_Kyoukai_Movie_2__Satsujin_Kousatsu_Zen,https://www.youtube-nocookie.com/embed/djYFAV1gO6U?enablejsapi=1&wmode=opaque&autoplay=1,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),劇場版 空の境界 the Garden of sinners 第二章『殺人考察（前）』,Movie,Light novel,1,Finished Airing,"Dec 29, 2007",1 hr,R - 17+ (violence & profanity),7.76,251872,481,"Action, Fantasy, Mystery, Romance, Suspense",29.12.2007
